job_id,scraped_job_title,recruiter_name,job_location_text,full_job_description,extracted_clues,potential_companies,analysis_summary,top_company,top_confidence
9c374cab-79a8-419f-b955-a22d7891524b,Panel Wirer,Precision People,"Leicester, LE8, LE8 6LP","Panel Wirer
Contract role 
Machine Building Industry
Leicester, LE8
Days Shifts - Early Finish Friday
Pay rate ","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
,,,,,"{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
7508c964-1e28-4daf-ba2d-54d2f53f5089,Work Shop supervisor,Precision People,"LE3 6NW (Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire. The client is based in Leicester.)","Experience Required -
Production Supervisor
Fabrication shop 
Engineering Manufacturing Industry
Leicester LE3 
Up to 
Day Shifts - Early Finish Friday
Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business?
Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop.
Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire.
The Role - Fabrication supervisor
- To lead, motivate and manage a team of fabricators on a daily basis.
- Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications.
- To oversee all works being carried out in the workshop to ensure customer satisfaction at all times.
- Interpreting drawings received.
- Welding various fabricated material.
- Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery.
- Arranging adequate and relevant training for new and existing staff as necessary.
- Working with other staff members effectively by coordinating workload.
- Adhering to health and safety regulations.
- All other duties as required that are considered to be a reasonable employer request.
- At least 5 years' experience in metal sheet fabrication.
- Competent with all aspect of fabrication.
- Use of CAD drawings
- Forklift licence would be preferable but not essential
- Accurate measuring ability and good numeracy skills and experience of using measuring equipment.
- The ability to understand the drawings provided.
- Relevant qualifications would be desirable.
- Previous welding/sheet metal experience essential.
- Amada machinery experience preferable.
The Package - Fabrication/shop floor supervisor 
- Starting salary up to 
- Pension
- Day Shifts - Mon to Thurs 07.30-16.30, Friday 07.30-1400
About PrecisionPeople
PrecisionPeople is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership.
PrecisionPeople has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidate's expectations.
Interested? To apply for this Production Supervisor position, here are your two options:
1. ""This is the job for me! When can I start?"" - Call (phone number removed) now and let's discuss your experience. Ask for Sharon Pickering between 0730 am - 4.30 pm
2. ""I think I'm right for this position, but I'm not sure I have enough to get an interview"" - Click ""apply now"" so I can read your CV and let you know
INDTEMP","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
b6f829aa-ae31-487a-85bb-bfdb6f801c96,CNC Setter / operator,Precision People,Leicester LE4,"CNC Operator. Location: Leicester LE4. Hours: Monday to Thursday - 20.00 - 06.15. Payrate - £15.00 p/h. Interviews Happening Immediately. Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person. What You'll Be Doing: Running a cell, operating a CNC Machine; Working from detailed engineering drawings; Operating CNC Milling and Turning Machines; Machining components to a high standard; Reporting to the machine shop Manager; Occasionally working independently on varied jobs and materials. What We're Looking For: An experience CNC Milling and Turning operative; Strong background in operating CNC Machines; Confident reading technical drawings; 3+ years experience working within an engineering environment; Someone who can hit the ground running with operating a CNC Milling and turning machine; Someone who is willing to learn and progress.","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
5d7f7d40-19a7-4ef4-852b-b14037406351,CNC Setter / Operator,Precision People,LE4,"Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium
**JOB PURPOSE**
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
**THE CNC Setter / Operator**
CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
**Interested? To apply for the CNC Role**
**, here are your two options:**
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system
Ref: CNC Operator
INDTEMP","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
1297e091-1925-4554-81d4-c8c003429c3d,CNC setter / operator,Precision People,"Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas","Permanent Opportunity  
 Paying upto £17.00 p/h   
 Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas  
 Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine  
 Interviewing immediate  
 Working a day shift Monday to Thursday 06.30 - 16.45  
 Overtime paid at a premium  
**JOB PURPOSE**  
 To report to the Machine Shop Supervisor  
To set and Operate a CNC Milling Machine Machine  
**THE CNC Setter / Operator**  
 CANDIDATE:  
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
**Interested? To apply for the CNC Role**  
**, here are your two options:**  
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on  (phone number removed)  between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system  
 Ref: CNC Operator  
 INDTEMP","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
1ffb6294-c47f-4d21-aaca-4acd3d520165,Welder,Precision People,Leicester LE4,"We're working with a well-established and growing engineering firm in Leicester LE4 who are looking to add to their friendly team. 
This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.
What You'll Be Doing  
- MIG welding Steel
- Fabrication and assembly
- Marking link bars
- Grinding
- Cleaning parts
- Occasionally working independently on varied jobs and materials
What We're Looking For  
- Skilled welder/fabricator
- Strong background in welding steel
- Confident reading technical drawings
- 3+ years experience working with steel
- Someone who can hit the ground running and work on their own initiative
Why You'll Love It Here  
- Excellent hourly rate - up to £14.50 p/h
- Day shifts only — no evenings or weekends
- Genuine temp-to-perm opportunity
- Great team environment and solid support from day one
Interested? Let's talk!  
Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV.  
 Ref: Welder INDTEMP","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
c16e0791-d912-4258-b174-b566d4ca0fa3,General op with FLT licence,Precision People,"Leicester LE3 (Location: Le3, Braunstone)","General operative with FLT Licence
Location: Leicester LE3
Hours: Monday to Thursday 07.30 - 16.0 Friday 07.30 - 14.00
Payrate upto £13.50p/h 

Interviews Happening Immediately
Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity?
We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.

What You'll Be Doing
- Operating an FLT
- Loading and unloading of trailers
- Making deliveries so a valid uk driving licence is essential
- Prepping parts ready for the paint shop
- Other general duties

What We're Looking For
- Someone who has a nationally accreditedFLT Licence
- You must hold a Full UK driving licence
- previous experience within an engineering environment
- ability to load and unload parts
- Someone who can hit the ground running and work on their own initiative","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
d1f94695-e8fe-4183-b7b1-518481f1cc9e,Laser operator,Precision People,"Leicester, LE3 6NW","Laser Operator Location: Leicester , LE3 Hours: Monday to Thursday 0630 - 1530 Friday 0630 - 1230 Payrate - £14.00 per hour Interviews Happening Immediately Are you a skilled Laser operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. What You'll Be Doing - Working from detailed engineering drawings - Operating an Amada press Brake - Removing parts and tags - Operating a press brake - Ensuring components are to a high standard - Reporting to the workshop Manager - Occasionally working independently on varied jobs and materials What We're Looking For - Fully skilled Amada Laser operator - Strong background in an engineering environment - Confident reading technical drawings - 3+ years experience working with an Amada laser - Press brake operating experience preferred but not essential - Someone who can hit the ground running and work on their own initiative Why You'll Love It Here - Excellent hourly rate - up to £ 14.00 p/h - Late shifts only — no weekends - Genuine Perm opportunity - Great team environment and solid support from day one Interested? Let's talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Laser Operator INDTEMP","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
b7bb7126-bc69-4b21-aca2-ca4e62052941,Welder,Precision People,Oadby,"Welder  Location: Leicester LE2   
Hours: Mon - Thurs 0700 - 1600 Friday 0700 - 1300  
 Interviews Happening Immediately  
 Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person.  
 What You’ll Be Doing Welding and fabricating   
 MIG Welding up to 5mm  
 Fabricating Mild steel to a high standard   
 Reporting to the engineering manager   
 Operating both the CNC Laser and CNC Press brake when required  
 
 What We're Looking For
- Apprentice-trained or time-served welder/fabricator
- Strong background in MIG welding and fabrication
- Confident reading technical drawings
- 2+years experience working with mid to heavy gauge mild steel
- Someone who can hit the ground running and work on their own initiative
 
 Why You’ll Love It Here
- Excellent hourly rate - up to £16.00
- Day Shift Only
- Genuine temp-to-perm opportunity
- Great team environment and solid support from day one
 
 Interested? Let’s talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps.  
Or click “Apply Now” and we’ll be in touch to chat through your CV.  
 Ref MIG Welder/Fabricator   
 INDTEMP","{""error"": ""Error code: 400 - {'error': {'message': \""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model.\"", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 400 - {'error': {'message': ""Invalid parameter: 'response_format' of type 'json_object' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,0.0
