job_id,scraped_job_title,recruiter_name,job_location_text,possible_hiring_company_1,possible_hiring_company_2,possible_hiring_company_3,possible_hiring_company_4,possible_hiring_company_5,reasoning
b77dbdf3-1da3-41ca-84e6-b5474fbb9cd2,Mechanical Design Engineer,Incotech,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer' and the domain keyword 'innovative manufacturing solutions', and lacking a specific location, I have inferred plausible UK-based companies operating... (Expecting value: line 1 column 1 (char 0))"
f527a25c-a627-4c8b-bdae-e2f0252a4683,Mechanical Design Engineer,Alexander Mann Solutions - Contingency,,,,,,,"Parser error, raw text: The task is complete. Based on the job description, location, and industry keywords, the following companies are plausible end-employers.... (Expecting value: line 1 column 1 (char 0))"
dda78bfd-5c09-4a3d-bcf9-30011ca0cd02,Mechanical Design Engineer,,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer' and the location 'Coventry/Hybrid', combined with the description of 'substantial growth' and 'opening new design hubs', the following companies are... (Expecting value: line 1 column 1 (char 0))"
8000efba-e37d-4529-96e6-b723a30528e9,Mechanical Design Engineer,WB Power Services Ltd,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer' (focusing on 3D models, designs, and drawings) and the recruiter's location in Heanor, Derbyshire, the following companies are plausible end-employe... (Expecting value: line 1 column 1 (char 0))"
ae662f78-206b-4f75-9e89-d9b3f0b2da95,Mechanical Design Engineer,Redshore,,,,,,,"Parser error, raw text: Based on the job description snippet—a Midlands-based manufacturing company producing highly technical components for the aerospace, automotive, and medical industries—I have inferred the following pl... (Expecting value: line 1 column 1 (char 0))"
54753ad7-f8b2-4d7c-b613-db7f976a03e4,Mechanical Design Engineer,Bennett and Game Recruitment LTD,,,,,,,"Parser error, raw text: Based on the job description for a Mechanical Design Engineer specializing in Conveyer and special purpose machinery manufacturing in Derby, I have inferred the following plausible hiring companies. T... (Expecting value: line 1 column 1 (char 0))"
c7109881-222e-4048-b32e-cc52f032e1a7,Mechanical Design Engineer,Wallace Hind Selection LTD,,,,,,,"Parser error, raw text: Based on the job description for a Mechanical Design Engineer role near Bedford, working for a 'well established and very profitable British manufacturer of packaging machinery supplied to the food, c... (Expecting value: line 1 column 1 (char 0))"
ed58c51f-3ca9-49f8-a36e-255649499c6a,Mechanical Design Engineer,Euro-Projects Recruitment Ltd,,,,,,,"Parser error, raw text: Based on the job description for a Mechanical Design Engineer working on electromechanical products (machinery, plant) for an 'International business' with hybrid working in the UK Midlands, the follo... (Expecting value: line 1 column 1 (char 0))"
093664d3-ad66-4798-9461-ed764cd1bda3,Mechanical Design Engineer,TRS (Technical Recruitment Solutions),,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer', the industry 'well-established manufacturing company' in the 'Mechanical Engineering business', and the inferred location of the West Midlands, UK,... (Expecting value: line 1 column 1 (char 0))"
cf9a2c23-f153-44d2-8f21-066266dde36f,Mechanical Design Engineer,ATA Recruitment,,,,,,,"Parser error, raw text: Based on the job description snippet, location (Nottinghamshire), and industry focus (bespoke mechanical systems for Oil & Gas and Power Markets), the following companies are plausible end-employers:... (Expecting value: line 1 column 1 (char 0))"
377295d0-e8a4-40bf-b76a-2a06ee1b83ca,Mechanical Design Engineer,,,,,,,,"Parser error, raw text: Based on the job description snippet, the role is for a Mechanical Design Engineer in Birmingham, focusing on 'bespoke products and steel engineering solutions for Manufacture'. I have identified the ... (Expecting value: line 1 column 1 (char 0))"
4926fced-004f-4612-a9d1-a5b9064ffbca,Mechanical Design Engineer,,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer' and the description of a 'well-established business with an extensive product portfolio', and given the lack of location data, the following global/... (Expecting value: line 1 column 1 (char 0))"
476f82d5-1c34-4766-9084-8fea4db2426d,Mechanical Design Engineer,Synergy Personnel Services,,,,,,,"Parser error, raw text: Based on the job title, sector, and location (Ilkeston, which is near Derby/Nottingham in the East Midlands), I have inferred the following plausible hiring companies that operate as Building Services... (Expecting value: line 1 column 1 (char 0))"
f1e210d6-ad78-4614-98aa-32d48fedcfce,Mechanical Design Engineer,Redshore,,,,,,,"Parser error, raw text: Based on the job description snippet, location (Rugby), and industry keywords (aerospace, automotive, medical, highly technical components), I have inferred the following plausible hiring companies:... (Expecting value: line 1 column 1 (char 0))"
3bcf894e-35d6-41ec-9e4e-91e591fc9afe,Mechanical Design Engineer,,,,,,,,"Parser error, raw text: Based on the description of a 'designer and manufacturer of bespoke mechanical handling and automation systems', and the role of 'Mechanical Design Engineer', I have inferred the following plausible h... (Expecting value: line 1 column 1 (char 0))"
f1c95e3c-0697-4530-b3b3-18b1449a4fa7,Mechanical Design Engineer,Concept Technical,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer' and the location 'Derby Area', here are the most plausible end-employers, considering Derby's strong presence in rail, aerospace, and automotive man... (Expecting value: line 1 column 1 (char 0))"
7c71d590-84c0-4b0d-ae8a-37f7d74d037c,Mechanical Design Engineer,Belcan,,,,,,,"Parser error, raw text: Based on the job description (Mechanical Design Engineer, turbomachinery components, Castle Donington location), and ignoring the recruiter Belcan, I have inferred the most plausible end-employers in ... (Expecting value: line 1 column 1 (char 0))"
18112d78-e4b0-4b24-bae4-6501c7c318ed,Mechanical Design Engineer,Hays Construction and Property,,,,,,,"Parser error, raw text: Based on the job description snippet (Mechanical Design Engineer, family-run mechanical contractor, mechanical building services, multiroom residential/warehouse projects, Derbyshire), I have inferred... (Expecting value: line 1 column 1 (char 0))"
89a157cf-d92e-4fda-b103-c6b688ce0c22,Mechanical Design Engineer,Hunter Selection,,,,,,,"Parser error, raw text: Based on the job title (Senior Mechanical Design Engineer), location (Market Harborough, implying the East Midlands region), and industry focus (military/defense), I have inferred the following plausi... (Expecting value: line 1 column 1 (char 0))"
8e10b0fe-e792-46ba-a5cd-5a48fde04131,Mechanical Design Engineer,Rise Technical Recruitment,,,,,,,"Parser error, raw text: Inferred hiring companies based on the job title, location (Derby), and industry (respected engineering business).... (Expecting value: line 1 column 1 (char 0))"
9a54289f-fd47-4dc9-902c-695408ae3860,Mechanical Design Engineer,Global Recruitment Services Ltd,,,,,,,"Parser error, raw text: Based on the job description for a Mechanical Design Engineer in Burton on Trent, specializing in heavy engineering and aerospace manufacturing, I have inferred the following plausible hiring companie... (Expecting value: line 1 column 1 (char 0))"
0d0b723d-f135-4de4-b449-922296e689a4,Mechanical Design Engineer,Global Recruitment Services Ltd,,,,,,,"Parser error, raw text: Based on the job description for a Mechanical Design Engineer in Burton on Trent, working for a market-leading manufacturer of specialist equipment for heavy engineering and aerospace, the following c... (Expecting value: line 1 column 1 (char 0))"
afeea730-3945-4f05-8d16-eaccc1b238d5,Mechanical Design Engineer,Anderselite,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer' and the domain 'Severn Trent region' (water utility sector), the following companies are highly plausible end-employers, as they are known framework... (Expecting value: line 1 column 1 (char 0))"
5fd13ef8-1e25-43e0-82b6-2488cffb011c,Mechanical Design Engineer,Options Resourcing Ltd,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer' and the industry focus on 'high-quality hydraulic and fluid power systems' near Southam, UK, I have identified the following plausible hiring compan... (Expecting value: line 1 column 1 (char 0))"
70a1a75c-44ad-42c9-86a5-3bde6e10626b,Mechanical Design Engineer,Owen Daniels,,,,,,,"Parser error, raw text: Based on the job title 'Mechanical Design Engineer', the location 'Walsall', the salary range (£40,000 – £50,000), and the critical requirement for 'UK security clearance', the hiring company is likel... (Expecting value: line 1 column 1 (char 0))"
